#Data tag : v1 , Norm tag: None
run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
301532:6110,08/21/17 21:12:59,611,611,64650530.349,63324427.020
301567:6114,08/22/17 08:46:48,359,359,67487497.168,64262683.290
301627:6116,08/22/17 23:21:43,887,887,136025190.530,133211558.311
301664:6119,08/23/17 12:24:23,418,411,75302730.196,71408490.685
301665:6119,08/23/17 15:07:51,463,463,70629116.548,68864604.203
301694:6123,08/24/17 04:23:23,67,67,19758640.686,17982959.273
301912:6136,08/26/17 13:57:23,332,332,40598317.924,38824943.853
301913:6136,08/26/17 16:26:53,58,55,6697933.861,6035590.890
301914:6136,08/26/17 16:50:06,350,350,36970428.344,35987062.342
301941:6138,08/27/17 09:32:02,538,538,78150292.368,75585512.957
301959:6140,08/27/17 18:23:25,1909,1909,287164839.233,279143396.147
301960:6140,08/28/17 06:47:36,147,147,14657513.533,14356055.138
301970:6141,08/28/17 10:42:12,118,118,23404841.920,22691177.474
301984:6142,08/28/17 14:13:01,301,300,59997710.268,56413085.794
301985:6142,08/28/17 16:11:54,367,360,64153540.737,60905578.838
301986:6142,08/28/17 18:34:30,381,379,56910732.930,55046012.878
301987:6142,08/28/17 21:03:27,1128,1128,126159119.163,123998159.198
301997:6143,08/29/17 06:55:19,371,361,71025237.430,66083560.391
301998:6143,08/29/17 09:19:31,1704,1704,224277794.228,219896143.572
302019:6146,08/30/17 03:40:54,53,53,10013177.116,9297672.297
302026:6147,08/30/17 06:49:09,37,30,6858535.704,4741217.609
302029:6147,08/30/17 07:16:38,98,92,20111299.782,15524658.007
302031:6147,08/30/17 08:08:29,809,809,135019821.197,129978702.920
302033:6147,08/30/17 13:34:23,43,41,5949192.605,5229971.099
302034:6147,08/30/17 13:54:42,20,12,2724059.396,488780.671
302037:6147,08/30/17 14:25:39,3,2,397128.613,61067.935
302038:6147,08/30/17 14:31:57,1,1,131500.669,9083.737
302040:6147,08/30/17 14:35:43,174,168,22403928.731,21171928.354
302041:6147,08/30/17 15:44:00,72,65,8831404.630,7813997.939
302042:6147,08/30/17 16:12:12,523,516,57367902.267,55477948.305
302043:6147,08/30/17 19:35:17,228,228,21433078.759,20998566.837
302131:6152,08/31/17 12:32:49,867,867,114762788.399,112278181.175
302159:6155,09/01/17 00:37:45,108,108,17290538.234,16349679.047
302163:6156,09/01/17 03:33:23,1197,1189,154104211.847,148159001.757
302165:6156,09/01/17 11:25:29,85,80,7769852.222,6927968.293
302166:6156,09/01/17 11:58:48,16,16,1557162.613,1532383.904
302225:6158,09/01/17 18:41:42,868,868,118915954.189,116241958.383
302228:6159,09/02/17 03:31:11,234,234,40288027.940,38790047.101
302229:6159,09/02/17 05:05:33,457,457,69994785.848,68335167.631
302240:6160,09/02/17 10:53:49,960,960,143557447.086,140471392.233
302262:6161,09/03/17 03:32:01,435,428,81149687.629,77032217.508
302263:6161,09/03/17 06:21:33,1250,1250,170413700.435,166829672.354
302277:6165,09/03/17 22:44:53,372,372,56099761.899,54463304.760
302279:6165,09/04/17 07:35:59,71,70,6570419.528,5946207.514
302280:6165,09/04/17 08:06:52,152,152,13006515.832,12807028.234
302322:6167,09/04/17 17:43:03,838,838,101561701.826,98876937.546
302328:6168,09/05/17 01:49:04,681,681,98235628.516,95461175.958
302337:6169,09/05/17 09:16:54,136,127,24190546.653,20904504.971
302342:6169,09/05/17 10:22:41,54,54,9369235.614,7086222.082
302343:6169,09/05/17 10:52:16,98,97,16374911.915,15644099.953
302344:6169,09/05/17 11:33:15,480,480,71831360.781,70115901.027
302350:6169,09/05/17 15:02:18,136,136,17113206.257,16847135.415
302388:6170,09/05/17 18:47:02,685,685,133599899.421,129234468.729
302392:6171,09/06/17 01:57:38,363,355,82820906.492,76757856.012
302393:6171,09/06/17 04:19:09,887,887,164045431.609,160557211.822
302448:6174,09/06/17 20:48:45,1898,1898,321626329.940,313701909.329
302472:6175,09/07/17 11:26:59,781,781,164589047.423,158148016.810
302473:6175,09/07/17 16:32:57,377,368,64590801.827,61488880.696
302474:6175,09/07/17 19:17:18,305,305,46235833.491,44087746.240
302475:6175,09/07/17 21:17:58,7,2,1007049.103,101065.732
302476:6175,09/07/17 21:22:32,259,259,34879186.590,33916313.707
302479:6176,09/08/17 01:19:43,309,309,73316337.231,70058541.802
302484:6177,09/08/17 06:07:18,169,169,39861378.497,37365868.871
302485:6177,09/08/17 07:17:25,922,922,182617362.384,176630089.725
302492:6177,09/08/17 13:49:02,49,44,7896868.020,6904476.537
302493:6177,09/08/17 14:09:59,7,2,1115717.080,144108.408
302494:6177,09/08/17 14:13:24,618,618,89698644.914,87698011.142
302509:6179,09/08/17 23:12:14,20,20,5280222.565,5111672.884
302513:6180,09/09/17 02:18:37,53,53,13612605.426,12539022.515
302522:6182,09/09/17 07:21:37,18,12,3122361.954,520158.323
302523:6182,09/09/17 07:29:07,59,54,14097565.264,10987125.341
302525:6182,09/09/17 07:58:46,709,702,143687757.612,137409233.573
302526:6182,09/09/17 13:00:58,572,572,90354449.255,88166949.828
302548:6185,09/10/17 01:59:07,85,81,18929513.108,16101125.825
302551:6185,09/10/17 02:41:42,7,6,1566641.427,106049.487
302553:6185,09/10/17 02:50:55,188,187,39816554.339,37756778.639
302554:6185,09/10/17 04:05:18,7,3,1413409.114,93177.202
302555:6185,09/10/17 04:09:27,11,11,2214646.938,1943425.808
302563:6186,09/10/17 07:12:18,7,7,1488736.368,326890.321
302565:6186,09/10/17 07:21:03,7,3,1658927.094,152594.579
302572:6186,09/10/17 08:51:54,286,281,57762722.100,54759150.995
302573:6186,09/10/17 10:44:46,1249,1249,194821790.398,190510559.682
302596:6189,09/11/17 03:28:46,926,920,183218496.073,176235912.964
302597:6189,09/11/17 09:35:10,1054,1054,149895986.059,146885588.125
302634:6191,09/12/17 01:21:56,582,582,125307635.836,118957170.419
302635:6191,09/12/17 05:18:01,1252,1252,192439023.984,187201183.890
302651:6192,09/12/17 16:37:00,149,146,34687513.444,30699071.297
302654:6192,09/12/17 17:38:01,317,317,66887773.593,65259081.188
302661:6193,09/12/17 22:27:07,72,67,15713767.502,9745906.657
302663:6193,09/12/17 23:00:31,706,706,140462444.237,136817693.785
303825:6239,09/24/17 07:38:22,180,180,24091019.023,23642117.722
303832:6240,09/24/17 11:12:03,1857,1857,343152669.262,333128574.804
303838:6241,09/25/17 01:48:14,1963,1963,407803050.216,394600216.849
303885:6243,09/25/17 19:09:19,1993,1993,431285033.402,415089200.642
303948:6245,09/26/17 12:47:20,1624,1624,380302820.627,365100917.172
303998:6247,09/27/17 07:04:50,262,262,82854097.234,76324917.257
303999:6247,09/27/17 08:51:44,751,747,187257792.902,179139890.166
304000:6247,09/27/17 13:43:21,56,56,11194652.117,10978181.621
304062:6252,09/27/17 20:37:26,1961,1961,398651588.910,385649663.869
304119:6253,09/28/17 12:28:48,76,72,24585830.650,21058407.060
304120:6253,09/28/17 13:00:39,253,252,78129486.872,72556460.400
304125:6253,09/28/17 14:40:13,1769,1769,350612364.521,341363339.303
304144:6255,09/29/17 05:27:56,2580,2580,561103811.300,538113231.857
304158:6258,09/30/17 06:34:03,1922,1922,386451398.808,374034611.920
304169:6259,09/30/17 22:12:02,1668,1666,352975090.047,341186943.896
304170:6259,10/01/17 09:08:29,620,620,78086474.503,76616636.043
304199:6261,10/01/17 18:52:33,9,5,2841293.538,73133.960
304200:6261,10/01/17 18:55:58,321,321,93301388.735,88513007.582
304204:6262,10/01/17 23:41:29,553,553,163576508.168,153749806.937
304209:6263,10/02/17 05:33:50,405,405,126475793.900,116489186.433
304291:6266,10/02/17 17:40:13,30,22,8597476.313,3295949.779
304292:6266,10/02/17 17:51:42,1753,1753,370414674.742,349755154.987
304333:6268,10/03/17 11:50:17,1580,1580,384236528.608,368642835.881
304354:6269,10/04/17 03:18:00,214,214,72398512.969,68302118.851
304366:6271,10/04/17 09:20:22,1819,1819,438011145.670,421266148.408
304446:6272,10/05/17 00:46:48,55,55,19510223.262,16805408.064
304447:6272,10/05/17 01:17:37,1639,1639,388366724.609,370597664.280
304451:6272,10/05/17 12:14:42,60,54,8837437.558,7491895.518
304505:6275,10/05/17 18:53:16,27,26,9514917.216,7697022.264
304506:6275,10/05/17 19:04:51,370,370,124786138.350,119667654.427
304507:6275,10/05/17 21:32:17,239,235,70579547.838,50757205.167
304508:6275,10/05/17 23:07:04,1324,1324,257010037.085,250242942.660
304562:6276,10/06/17 12:30:34,794,794,236189512.761,222628268.840
304616:6278,10/06/17 22:15:31,942,942,268758288.224,254336129.678
304625:6279,10/07/17 07:35:53,464,462,155700258.680,136456545.984
304626:6279,10/07/17 10:38:45,8,8,2537142.529,2320793.413
304654:6283,10/08/17 01:25:39,652,645,207740364.998,173728955.002
304655:6283,10/08/17 05:39:52,1194,1194,240621134.494,231675322.063
304661:6284,10/08/17 15:49:50,145,142,50062281.347,46169437.804
304662:6284,10/08/17 17:02:50,150,147,48261323.514,43513090.539
304663:6284,10/08/17 18:01:29,689,689,186237111.865,177748160.406
304671:6285,10/09/17 00:42:58,1143,1139,326945768.569,309147958.595
304672:6285,10/09/17 08:09:11,60,60,12544671.050,12259802.084
304737:6287,10/09/17 19:53:10,81,75,27913301.183,24057200.924
304738:6287,10/09/17 20:24:43,1681,1677,428397725.983,410947325.183
304739:6287,10/10/17 07:20:19,14,11,2223153.984,1556963.716
304740:6287,10/10/17 07:25:28,278,278,41273743.218,40305673.301
304776:6288,10/10/17 12:08:19,50,41,17210523.418,9371901.546
304777:6288,10/10/17 12:27:42,504,497,166586999.420,156643338.356
304778:6288,10/10/17 15:47:08,1297,1297,275777916.619,268014646.765
304797:6291,10/11/17 07:04:10,2910,2910,583126432.766,560780324.113
305044:6297,10/13/17 21:00:46,222,218,72864407.111,67148491.911
305045:6297,10/13/17 23:11:08,873,873,212630785.478,203393846.175
305046:6297,10/14/17 04:51:46,683,683,112509684.715,109632629.947
305059:6298,10/14/17 11:45:00,512,510,173445278.890,157767769.623
305062:6298,10/14/17 15:13:19,8,5,2692292.200,1285533.237
305063:6298,10/14/17 15:18:16,35,35,11553611.753,9557454.596
305064:6298,10/14/17 15:34:28,2045,2045,394616723.422,382796929.652
305081:6300,10/15/17 09:05:35,1056,1056,334341838.613,315495275.792
305112:6303,10/15/17 23:07:00,1460,1455,420892134.938,401511838.878
305113:6303,10/16/17 08:40:47,64,59,12441502.322,11034036.495
305114:6303,10/16/17 09:05:23,526,526,88074042.723,85938140.547
305178:6304,10/16/17 17:19:51,55,52,19152902.119,16737919.955
305179:6304,10/16/17 17:41:43,21,17,7311734.036,3830089.450
305180:6304,10/16/17 17:50:43,9,5,3101766.362,524752.165
305181:6304,10/16/17 17:55:04,8,7,2811639.905,582039.441
305182:6304,10/16/17 18:00:34,8,5,2770668.343,921171.202
305183:6304,10/16/17 18:04:57,236,232,81920687.918,77210884.041
305184:6304,10/16/17 19:50:15,8,8,2743657.615,102204.982
305186:6304,10/16/17 19:58:50,415,415,127615911.074,122134819.934
305188:6304,10/16/17 23:07:05,1002,1002,205788927.334,199602544.352
305202:6305,10/17/17 08:18:29,653,648,221707979.046,207519441.512
305204:6305,10/17/17 13:20:31,1229,1229,264274375.699,255979370.942
305207:6306,10/17/17 23:34:04,1026,1026,331349092.835,318040106.781
305208:6306,10/18/17 06:15:42,372,372,87023947.046,83462031.106
305234:6307,10/18/17 11:00:16,48,46,16734192.507,12615359.675
305236:6307,10/18/17 11:28:43,23,23,7990447.765,6485734.606
305237:6307,10/18/17 11:42:19,1146,1146,354009511.627,338056113.025
305247:6308,10/18/17 23:58:29,377,375,131232223.976,122246968.642
305248:6308,10/19/17 02:26:30,957,952,273314178.755,258320295.028
305252:6308,10/19/17 09:09:00,548,548,98171552.629,95834370.512
305282:6309,10/19/17 15:28:20,133,133,46341132.924,44298363.303
305310:6311,10/19/17 20:28:02,394,389,137001253.591,127248258.031
305311:6311,10/19/17 23:03:24,153,153,50730522.734,47335563.207
305312:6311,10/20/17 00:05:09,227,227,72394414.460,68260628.049
305313:6311,10/20/17 01:35:48,741,739,179339555.784,170873738.079
305314:6311,10/20/17 06:25:45,404,404,70701598.926,68933364.513
305336:6312,10/20/17 12:11:10,206,206,71008088.648,66097102.403
305338:6312,10/20/17 13:32:39,107,103,36677096.200,33082679.030
305341:6312,10/20/17 14:14:05,503,500,160247722.329,151793671.680
305349:6312,10/20/17 17:29:36,34,30,9382731.531,3874135.221
305350:6312,10/20/17 17:43:03,21,15,5695755.299,3816138.754
305351:6312,10/20/17 17:51:39,868,868,186117756.687,179397622.229
305358:6313,10/21/17 02:01:06,162,158,56481856.801,49518890.127
305364:6314,10/21/17 05:43:22,98,94,33861942.376,30430052.225
